code_module,code_presentation,id_student,id_site,date,sum_click
CCC,2014B,1930644,730035,136,2
FFF,2013J,594360,716216,0,1
AAA,2013J,63400,546614,58,2
EEE,2014J,529670,832659,8,5
DDD,2014J,556514,814049,7,1
CCC,2014J,676964,909032,121,3
AAA,2013J,365642,546647,65,1
FFF,2014J,645840,882550,33,2
DDD,2014J,622597,813701,57,4
FFF,2013J,598478,716216,25,3
DDD,2014J,678240,813939,102,1
BBB,2013B,554352,542864,122,1
AAA,2014J,260623,877061,62,2
AAA,2013J,2084066,546723,26,2
CCC,2014J,322641,909091,143,33
DDD,2014J,623289,814082,37,1
AAA,2014J,2494700,877025,-24,3
FFF,2014J,680443,883064,148,1
FFF,2013B,359417,526796,125,1
BBB,2013J,555061,703721,45,3
FFF,2013J,279085,716433,235,1
DDD,2013B,173004,547730,115,1
DDD,2013J,559140,674099,100,1
EEE,2014J,652501,832659,28,1
BBB,2013J,265170,703732,1,4
BBB,2013J,518223,703737,5,1
EEE,2014J,307953,832565,26,4
FFF,2013B,1772429,526858,132,1
FFF,2014J,579686,882545,12,3
BBB,2014B,533077,768348,89,4
EEE,2014J,689250,832662,70,1
EEE,2014B,632389,790738,138,1
EEE,2014J,332945,832715,93,1
FFF,2013J,402662,716327,127,20
CCC,2014B,518862,730012,5,1
BBB,2014B,624406,768336,186,2
EEE,2013J,943374,551012,170,4
BBB,2013B,538221,542811,228,2
FFF,2014J,2140300,941543,121,1
FFF,2013J,116499,716827,15,1
FFF,2014J,581659,883092,124,2
DDD,2013B,558290,547946,162,3
EEE,2014B,70537,790740,108,1
DDD,2013B,555408,547539,124,10
DDD,2014J,260077,814029,144,1
DDD,2014J,269856,813958,210,1
EEE,2014J,651930,832565,-5,5
AAA,2013J,111717,546736,220,2
FFF,2014J,650054,883041,15,2
GGG,2014B,615404,798622,234,1
DDD,2013B,550865,547932,189,1
AAA,2013J,2694424,546650,99,1
CCC,2014J,621884,909018,100,1
FFF,2014J,678088,882675,28,45
AAA,2014J,424577,877030,25,4
FFF,2014J,679036,882537,240,3
BBB,2013B,199520,542811,74,2
EEE,2013J,590744,551172,12,3
FFF,2013J,342953,716261,4,24
FFF,2014J,613899,882617,6,1
GGG,2014J,546724,896981,179,1
EEE,2014B,35340,790732,123,1
FFF,2014J,234661,882563,92,15
DDD,2013B,298040,547869,76,1
FFF,2014J,87264,883037,51,4
CCC,2014J,689164,909321,240,2
FFF,2013J,601681,716216,26,1
DDD,2013J,350949,673519,-1,2
FFF,2013J,604379,716238,164,1
FFF,2013B,529493,526735,33,1
FFF,2014J,564770,883282,-11,1
DDD,2013J,419517,673519,32,3
FFF,2013J,577222,716643,25,3
DDD,2013J,595601,673519,11,2
DDD,2013J,571951,673745,137,4
BBB,2013J,2452289,703737,89,3
BBB,2013B,2617999,543235,223,1
